Training set: 9664
Testinf set: 1120
Validation set: 544

Epoch 1/100: Train Loss=0.9675, Val DSC_BG=0.7595, Val DSC_DeepGray=0.0000, Val DSC_LightGray=0.3456, Val DSC_White=0.0000
Epoch 2/100: Train Loss=0.9656, Val DSC_BG=0.8511, Val DSC_DeepGray=0.0000, Val DSC_LightGray=0.2144, Val DSC_White=0.6255
Epoch 3/100: Train Loss=0.9437, Val DSC_BG=0.9597, Val DSC_DeepGray=0.2259, Val DSC_LightGray=0.2890, Val DSC_White=0.6421
Epoch 4/100: Train Loss=0.9068, Val DSC_BG=0.9586, Val DSC_DeepGray=0.2263, Val DSC_LightGray=0.3908, Val DSC_White=0.6475
Epoch 5/100: Train Loss=0.8982, Val DSC_BG=0.9571, Val DSC_DeepGray=0.2344, Val DSC_LightGray=0.3496, Val DSC_White=0.6552
Epoch 6/100: Train Loss=0.8912, Val DSC_BG=0.9712, Val DSC_DeepGray=0.3351, Val DSC_LightGray=0.4412, Val DSC_White=0.6633
Epoch 7/100: Train Loss=0.8868, Val DSC_BG=0.9711, Val DSC_DeepGray=0.3272, Val DSC_LightGray=0.4084, Val DSC_White=0.6666
Epoch 8/100: Train Loss=0.8831, Val DSC_BG=0.9786, Val DSC_DeepGray=0.3912, Val DSC_LightGray=0.5299, Val DSC_White=0.5585
Epoch 9/100: Train Loss=0.8790, Val DSC_BG=0.9756, Val DSC_DeepGray=0.3800, Val DSC_LightGray=0.5141, Val DSC_White=0.6545
Epoch 10/100: Train Loss=0.8750, Val DSC_BG=0.9777, Val DSC_DeepGray=0.3979, Val DSC_LightGray=0.5061, Val DSC_White=0.6765
Epoch 11/100: Train Loss=0.8713, Val DSC_BG=0.9769, Val DSC_DeepGray=0.4223, Val DSC_LightGray=0.4217, Val DSC_White=0.6740
Epoch 12/100: Train Loss=0.8726, Val DSC_BG=0.9814, Val DSC_DeepGray=0.5081, Val DSC_LightGray=0.5606, Val DSC_White=0.6237
Epoch 13/100: Train Loss=0.8637, Val DSC_BG=0.9821, Val DSC_DeepGray=0.5276, Val DSC_LightGray=0.5591, Val DSC_White=0.6841
Epoch 14/100: Train Loss=0.8589, Val DSC_BG=0.9831, Val DSC_DeepGray=0.5561, Val DSC_LightGray=0.5834, Val DSC_White=0.6770
Epoch 15/100: Train Loss=0.8558, Val DSC_BG=0.9838, Val DSC_DeepGray=0.5625, Val DSC_LightGray=0.5665, Val DSC_White=0.6949
Epoch 16/100: Train Loss=0.8562, Val DSC_BG=0.9849, Val DSC_DeepGray=0.5711, Val DSC_LightGray=0.5707, Val DSC_White=0.7065
Epoch 17/100: Train Loss=0.8545, Val DSC_BG=0.9828, Val DSC_DeepGray=0.5699, Val DSC_LightGray=0.5790, Val DSC_White=0.7115
Epoch 18/100: Train Loss=0.8489, Val DSC_BG=0.9871, Val DSC_DeepGray=0.5925, Val DSC_LightGray=0.6243, Val DSC_White=0.7069
Epoch 19/100: Train Loss=0.8460, Val DSC_BG=0.9885, Val DSC_DeepGray=0.5991, Val DSC_LightGray=0.6349, Val DSC_White=0.7199
Epoch 20/100: Train Loss=0.8436, Val DSC_BG=0.9899, Val DSC_DeepGray=0.6085, Val DSC_LightGray=0.6424, Val DSC_White=0.7329
Epoch 21/100: Train Loss=0.8412, Val DSC_BG=0.9909, Val DSC_DeepGray=0.6247, Val DSC_LightGray=0.6532, Val DSC_White=0.7360
Epoch 22/100: Train Loss=0.8388, Val DSC_BG=0.9909, Val DSC_DeepGray=0.6292, Val DSC_LightGray=0.6591, Val DSC_White=0.7515
Epoch 23/100: Train Loss=0.8367, Val DSC_BG=0.9928, Val DSC_DeepGray=0.6447, Val DSC_LightGray=0.6784, Val DSC_White=0.7534
Epoch 24/100: Train Loss=0.8376, Val DSC_BG=0.9894, Val DSC_DeepGray=0.6315, Val DSC_LightGray=0.6616, Val DSC_White=0.7726
Epoch 25/100: Train Loss=0.8330, Val DSC_BG=0.9932, Val DSC_DeepGray=0.6521, Val DSC_LightGray=0.6939, Val DSC_White=0.7836
Epoch 26/100: Train Loss=0.8300, Val DSC_BG=0.9934, Val DSC_DeepGray=0.6665, Val DSC_LightGray=0.7067, Val DSC_White=0.7886
Epoch 27/100: Train Loss=0.8278, Val DSC_BG=0.9941, Val DSC_DeepGray=0.6729, Val DSC_LightGray=0.7138, Val DSC_White=0.8022
Epoch 28/100: Train Loss=0.8263, Val DSC_BG=0.9938, Val DSC_DeepGray=0.6762, Val DSC_LightGray=0.7178, Val DSC_White=0.8125
Epoch 29/100: Train Loss=0.8254, Val DSC_BG=0.9946, Val DSC_DeepGray=0.6827, Val DSC_LightGray=0.7275, Val DSC_White=0.8180
Epoch 30/100: Train Loss=0.8229, Val DSC_BG=0.9948, Val DSC_DeepGray=0.6884, Val DSC_LightGray=0.7315, Val DSC_White=0.8231
Epoch 31/100: Train Loss=0.8212, Val DSC_BG=0.9948, Val DSC_DeepGray=0.6905, Val DSC_LightGray=0.7351, Val DSC_White=0.8287
Epoch 32/100: Train Loss=0.8199, Val DSC_BG=0.9950, Val DSC_DeepGray=0.6972, Val DSC_LightGray=0.7426, Val DSC_White=0.8297
Epoch 33/100: Train Loss=0.8187, Val DSC_BG=0.9950, Val DSC_DeepGray=0.7022, Val DSC_LightGray=0.7435, Val DSC_White=0.8347
Epoch 34/100: Train Loss=0.8174, Val DSC_BG=0.9956, Val DSC_DeepGray=0.7099, Val DSC_LightGray=0.7517, Val DSC_White=0.8363
Epoch 35/100: Train Loss=0.8176, Val DSC_BG=0.9937, Val DSC_DeepGray=0.7041, Val DSC_LightGray=0.7447, Val DSC_White=0.8409
Epoch 36/100: Train Loss=0.8161, Val DSC_BG=0.9953, Val DSC_DeepGray=0.7152, Val DSC_LightGray=0.7602, Val DSC_White=0.8424
Epoch 37/100: Train Loss=0.8140, Val DSC_BG=0.9953, Val DSC_DeepGray=0.7173, Val DSC_LightGray=0.7612, Val DSC_White=0.8469
Epoch 38/100: Train Loss=0.8139, Val DSC_BG=0.9955, Val DSC_DeepGray=0.7235, Val DSC_LightGray=0.7654, Val DSC_White=0.8491
Epoch 39/100: Train Loss=0.8127, Val DSC_BG=0.9955, Val DSC_DeepGray=0.7273, Val DSC_LightGray=0.7705, Val DSC_White=0.8514
Epoch 40/100: Train Loss=0.8115, Val DSC_BG=0.9956, Val DSC_DeepGray=0.7271, Val DSC_LightGray=0.7763, Val DSC_White=0.8536
Epoch 41/100: Train Loss=0.8101, Val DSC_BG=0.9953, Val DSC_DeepGray=0.7352, Val DSC_LightGray=0.7719, Val DSC_White=0.8588
Epoch 42/100: Train Loss=0.8098, Val DSC_BG=0.9946, Val DSC_DeepGray=0.7335, Val DSC_LightGray=0.7748, Val DSC_White=0.8607
